# Shadow tomography log started 2019-12-31 04:46:40
# Dimension = 2
# True state = (-0.30738525  0.10128641 -0.25510160  0.91114134)
# N        C              re0         im0         re1         im1
  92270    92270   0.27389435  0.18059683 -0.74945307 -0.57505371
  210385   118115  0.41596348  0.84813976  0.12303641  0.30413051
  348488   138103 -0.38855217  0.21181693 -0.43429128 -0.78457115
  422898   74410  -0.34905143 -0.82602899 -0.40651767  0.17487878
  469669   46771   0.48097745 -0.67219673  0.11020664  0.55196626
  652546   182877 -0.31287014  0.46789371  0.18742929  0.80502050
  701036   48490  -0.35187742 -0.42721845  0.46124623  0.69348294
  891939   190903  0.30309999 -0.77575580  0.25290041 -0.49231566
  1032052  140113  0.24232431 -0.01078213 -0.24353221 -0.93907121
  1104058  72006  -0.11169248  0.96368432 -0.24149568  0.02274120
  1180477  76419  -0.28171544 -0.71529607  0.63441638 -0.08064615
  1314570  134093 -0.16335842  0.61830573  0.67204693  0.37331619
  1348556  33986   0.62918842  0.74949356 -0.17096852 -0.11467825
  1545976  197420  0.10375564  0.17780918  0.70865513  0.67485300
  1618927  72951   0.61066149  0.02629882 -0.49294451 -0.61919837
  1764294  145367  0.69943754 -0.37038903  0.57021959  0.22011066
  1855769  91475   0.19871823 -0.84742331  0.49038397  0.04368475
  1967821  112052  0.18344475  0.45687286  0.75392570 -0.43498419
  1977898  10077   0.36890907 -0.78113690 -0.36476618  0.34738578
  2201150  223252  0.47392583  0.17066211  0.65273978  0.56586176
  2336733  135583  0.93830114 -0.06923966  0.33661604 -0.03855495
  2426981  90248   0.30233657 -0.15293605 -0.82172237  0.45823085
  2492290  65309  -0.83711594  0.35611617  0.20188414  0.36285116
  2632674  140384 -0.40513173  0.09102993 -0.29180329 -0.86164533
  2682907  50233  -0.95925700 -0.28083433  0.02657317 -0.01587297
  2845389  162482 -0.02259758 -0.02115264 -0.99701148  0.07078155
  2911192  65803   0.34035816 -0.62798741 -0.68346736 -0.15053406
  3038810  127618 -0.27782620  0.64234005 -0.70841599 -0.09142561
  3076845  38035   0.65428908 -0.59472953 -0.02737130  0.46631900
  3275556  198711  0.23069446  0.40618058  0.84979503  0.24422490
  3411140  135584  0.42691979 -0.50940813  0.66772128  0.33524788
  3488231  77091  -0.74714836  0.00348994  0.15598005  0.64608620
  3527593  39362  -0.63674528  0.21448125  0.49714128 -0.54900253
  3718217  190624  0.73674136  0.07593027  0.61692485 -0.26617756
  3760468  42251  -0.42761901  0.86829431 -0.15966666 -0.19419971
  3933404  172936 -0.17440569  0.18107906  0.35820258  0.89915735
  3992142  58738  -0.82676628  0.50564199  0.15609694  0.19083353
  4155036  162894 -0.24184489 -0.04790346  0.05698774 -0.96745476
  4297928  142892  0.08025871 -0.69050506  0.65678105 -0.29223270
  4355152  57224   0.66036734 -0.28403569 -0.56160403 -0.40968233
  4410557  55405   0.13390397  0.86506296 -0.46580894 -0.12945205
  4572952  162395  0.18324563 -0.44738892 -0.60141306 -0.63605544
  4659044  86092  -0.14443478  0.93162925  0.30660608  0.13114208
  4783198  124154  0.23621144  0.23539262 -0.81017354  0.48209263
  4870418  87220   0.40954086 -0.42767326  0.20581992  0.77910848
  5011054  140636  0.72262333  0.35663340  0.50056892 -0.31632086
  5036077  25023  -0.40261005 -0.85841384  0.12272768  0.29320427
  5248611  212534  0.09530916 -0.30322762  0.32215425 -0.89173192
  5361740  113129  0.21962829 -0.03053966 -0.69761376  0.68129713
  5445411  83671   0.65450521 -0.72280957  0.02223566 -0.22062374
  5619928  174517  0.02305322 -0.35920021 -0.74816107 -0.55740359
  5672092  52164   0.27796291 -0.89060675  0.22968302  0.27713166
  5878074  205982 -0.44997119 -0.04854180 -0.64128181 -0.61961864
  5907248  29174   0.83398813 -0.31564763 -0.43250964 -0.13328838
  5946390  39142   0.15149254  0.56387460 -0.39279515 -0.71049800
  6134579  188189  0.05035790  0.81028361  0.17512488  0.55698818
  6194903  60324  -0.69763549 -0.46786665  0.42206513 -0.34097882
  6342984  148081 -0.33500966 -0.42681853 -0.78467581  0.29979716
  6371435  28451  -0.81807404 -0.41014999  0.16762122  0.36665375
  6570220  198785  0.40211612  0.02888717  0.67022885  0.62310629
  6698372  128152  0.10868909 -0.20851381 -0.94982555  0.20625250
  6782586  84214   0.30349659 -0.92336260  0.21864750 -0.08651357
  6834511  51925   0.65114997 -0.21045239 -0.69308254 -0.22660560
  7024934  190423 -0.11795270  0.71958367 -0.48662246  0.48112897
  7224943  200009 -0.04639634 -0.51156329 -0.59317738 -0.61991207
  7249293  24350  -0.51084272  0.68934034 -0.01805687 -0.51334546
  7300878  51585  -0.49200049  0.27789711  0.79357631 -0.22571076
  7510687  209809  0.71915242  0.40438659  0.41371712  0.38487587
  7624201  113514 -0.48464390  0.09247978  0.01266055 -0.86971690
  7714541  90340   0.10817104 -0.86305666 -0.46711798 -0.15884904
  7754354  39813  -0.44584335  0.57461518  0.02468296 -0.68588035
  7952576  198222 -0.47864135  0.49187759 -0.10714720  0.71935970
  8043682  91106   0.10450969 -0.85249576 -0.48781785 -0.15608476
  8156383  112701 -0.21517446  0.46478883 -0.69839334 -0.49991803
  8253556  97173   0.95575166 -0.16388596  0.24029295 -0.04403936
  8349678  96122  -0.01352937 -0.24392032  0.06477601  0.96753496
  8539834  190156 -0.10715119  0.75478827 -0.45167442  0.46346899
  8596208  56374  -0.62073960  0.18301812  0.71749229  0.25766554
  8656072  59864   0.68919966 -0.12407334 -0.35568611  0.61894833
  8827070  170998  0.71329671  0.02859087  0.47206482 -0.51724768
  8917376  90306  -0.27538024  0.21776307  0.14978784 -0.92428814
  9026372  108996  0.38591847 -0.85311893 -0.10918003 -0.33366863
  9075757  49385  -0.17192720  0.54216350  0.59656806 -0.56622109
  9255845  180088 -0.82025040  0.06073764 -0.51687556 -0.23736023
  9345688  89843  -0.99420018  0.05043789 -0.09079656  0.02789268
  9494674  148986  0.09399196  0.01369409 -0.99023522  0.10204015
  9659460  164786 -0.14486434 -0.54473776 -0.80410384 -0.18892356
  9715339  55879   0.07287395 -0.82277851  0.47179150  0.30844399
  9772135  56796  -0.41233388 -0.35648814  0.30470842  0.78105682
  9928672  156537 -0.51762199  0.65951835 -0.49782836  0.22196834
  10133361 204689  0.20472399 -0.23631078  0.88119651 -0.35459557
  10162171 28810   0.31186162  0.89721103  0.04356538 -0.30960742
  10184521 22350   0.69271207 -0.11987349 -0.70506171 -0.09310383
  10413393 228872  0.70134993 -0.11784994  0.69650038  0.09543000
  10583091 169698 -0.18637726  0.00804877 -0.59460042  0.78207996
  10628328 45237  -0.29231050  0.93795165 -0.10152822 -0.15650332
  10662056 33728  -0.55568533  0.47210760  0.68208808 -0.05553441
  10849302 187246  0.43339431  0.52962023  0.04575173  0.72772148
  11053259 203957  0.31941973 -0.22392238  0.89479193  0.21720314
  11092621 39362   0.07242578  0.91792391  0.27178297 -0.27982891
  11212114 119493 -0.39269281 -0.84279747 -0.25962392 -0.26092184
  11314296 102182 -0.22334287  0.29257947  0.27931765 -0.88684658
  11420522 106226  0.45307624  0.66782327 -0.37797395  0.45372866
  11508030 87508   0.43771745 -0.39640564 -0.68598028 -0.42508476
  11566104 58074   0.44269999 -0.18841582 -0.82282170  0.30245768
  11719703 153599 -0.50571121 -0.71608126 -0.25750562 -0.40641685
  11781031 61328   0.66349027 -0.33422638 -0.47712894 -0.46949053
  11917752 136721  0.65840513 -0.12073140  0.36149937  0.64903376
  12005354 87602  -0.65306026  0.28299987 -0.16585354 -0.68258038
  12117134 111780 -0.69485668 -0.10294443 -0.22229390  0.67613760
  12192281 75147  -0.28931550 -0.75313658  0.57916079 -0.11685294
  12319404 127123  0.22478394 -0.54640096 -0.68443269 -0.42716514
  12342853 23449   0.47045857  0.48917200 -0.60420298 -0.41751437
  12539349 196496 -0.26168175 -0.68622310 -0.36311725 -0.57338153
  12610708 71359  -0.88457540  0.18335258 -0.08980107 -0.41933753
  12757124 146416 -0.35542182 -0.23996569 -0.50055891  0.75201900
  12798662 41538  -0.93407439  0.27096361  0.13689496 -0.18799876
